House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Address,Is Retired,Is Unemployed,Is Student,Major Religions
7,Morgan Avenue,Daniel,Patel,67,Head,Married,M,"Lecturer, higher education",None,Muslim,"7, Morgan Avenue",0,0,0,Muslim
7,Morgan Avenue,Rosie,Patel,66,Wife,Married,F,Health promotion specialist,None,Muslim,"7, Morgan Avenue",0,0,0,Muslim
8,Morgan Avenue,Marc,Brown,76,Head,Married,M,Retired Best boy,None,Christian,"8, Morgan Avenue",1,0,0,Christian
8,Morgan Avenue,Christine,Brown,77,Wife,Married,F,Retired Chemical engineer,None,None,"8, Morgan Avenue",1,0,0,Unknown
9,Morgan Avenue,Helen,Gilbert,50,Head,Single,F,"Copywriter, advertising",None,Christian,"9, Morgan Avenue",0,0,0,Christian
9,Morgan Avenue,Lynne,Gilbert,26,Daughter,Single,F,Charity officer,None,Christian,"9, Morgan Avenue",0,0,0,Christian
10,Morgan Avenue,Russell,Lyons,27,Head,Divorced,M,Early years teacher,None,Muslim,"10, Morgan Avenue",0,0,0,Muslim
11,Morgan Avenue,Harriet,Graham,55,Head,Single,F,Exhibition designer,None,None,"11, Morgan Avenue",0,0,0,Unknown
11,Morgan Avenue,Jeffrey,Green,53,Partner,Single,M,"Sound technician, broadcasting/film/video",None,None,"11, Morgan Avenue",0,0,0,Unknown
12,Morgan Avenue,Brian,Miles,28,Head,Single,M,Energy manager,None,Muslim,"12, Morgan Avenue",0,0,0,Muslim
12,Morgan Avenue,Sylvia,Clarke,29,Partner,Single,F,"Pilot, airline",None,None,"12, Morgan Avenue",0,0,0,Unknown
12,Morgan Avenue,Gareth,Miles,11,Son,Ineligible,M,Student,None,,"12, Morgan Avenue",0,0,1,Ineligible
13,Morgan Avenue,Ruth,Field,22,Head,Single,F,University Student,None,None,"13, Morgan Avenue",0,0,1,Unknown
14,Morgan Avenue,Katy,Barker,44,Head,Single,F,Merchant navy officer,None,None,"14, Morgan Avenue",0,0,0,Unknown
15,Morgan Avenue,Liam,Singh,30,Head,Single,M,Restaurant manager,None,Christian,"15, Morgan Avenue",0,0,0,Christian
16,Morgan Avenue,Alexandra,Clarke,64,Head,Married,F,"Designer, multimedia",None,Christian,"16, Morgan Avenue",0,0,0,Christian
16,Morgan Avenue,Jason,Clarke,68,Husband,Married,M,Retired Contracting civil engineer,None,None,"16, Morgan Avenue",1,0,0,Unknown
16,Morgan Avenue,Laura,Clarke,38,Daughter,Single,F,"Surveyor, quantity",None,Christian,"16, Morgan Avenue",0,0,0,Christian
17,Morgan Avenue,Mohamed,Cameron,34,Head,Single,M,"Designer, ceramics/pottery",None,None,"17, Morgan Avenue",0,0,0,Unknown
17,Morgan Avenue,Irene,Murphy,32,Partner,Single,F,Actor,None,None,"17, Morgan Avenue",0,0,0,Unknown
18,Morgan Avenue,Abigail,Davis,37,Head,Single,F,Dentist,None,None,"18, Morgan Avenue",0,0,0,Unknown
18,Morgan Avenue,Adrian,Davis,13,Son,Ineligible,M,Student,None,,"18, Morgan Avenue",0,0,1,Ineligible
19,Morgan Avenue,Anna,Russell,69,Head,Widowed,F,"Retired Therapist, horticultural",None,None,"19, Morgan Avenue",1,0,0,Unknown
20,Morgan Avenue,Samantha,Price,81,Head,Widowed,F,Retired Tax inspector,None,None,"20, Morgan Avenue",1,0,0,Unknown
21,Morgan Avenue,Dennis,Richardson,47,Head,Divorced,M,Advertising account planner,None,None,"21, Morgan Avenue",0,0,0,Unknown
22,Morgan Avenue,Oliver,Potter,44,Head,Single,M,Electronics engineer,None,Catholic,"22, Morgan Avenue",0,0,0,Christian
23,Morgan Avenue,Robin,Edwards,60,Head,Married,M,Fast food restaurant manager,None,Catholic,"23, Morgan Avenue",0,0,0,Christian
23,Morgan Avenue,Sarah,Edwards,56,Wife,Married,F,Engineering geologist,None,None,"23, Morgan Avenue",0,0,0,Unknown
24,Morgan Avenue,Geraldine,Lyons,72,Head,Widowed,F,Retired Government social research officer,None,Christian,"24, Morgan Avenue",1,0,0,Christian
25,Morgan Avenue,Dawn,Heath,59,Head,Single,F,Unemployed,None,Christian,"25, Morgan Avenue",0,1,0,Christian
25,Morgan Avenue,Daniel,Heath,31,Son,Single,M,"Therapist, drama",None,Christian,"25, Morgan Avenue",0,0,0,Christian
26,Morgan Avenue,Annette,Wong,54,Head,Single,F,Solicitor,None,Christian,"26, Morgan Avenue",0,0,0,Christian
27,Morgan Avenue,Alison,Wood,83,Head,Divorced,F,Retired Airline pilot,None,None,"27, Morgan Avenue",1,0,0,Unknown
28,Morgan Avenue,Kirsty,Ferguson,19,Head,Single,F,University Student,None,None,"28, Morgan Avenue",0,0,1,Unknown
29,Morgan Avenue,Tom,Hughes,41,Head,Married,M,Hydrologist,None,Catholic,"29, Morgan Avenue",0,0,0,Christian
29,Morgan Avenue,Jenna,Hughes,39,Wife,Married,F,Herbalist,None,None,"29, Morgan Avenue",0,0,0,Unknown
30,Morgan Avenue,Kirsty,Tucker,33,Head,Married,F,Retail buyer,None,None,"30, Morgan Avenue",0,0,0,Unknown
30,Morgan Avenue,Martin,Tucker,33,Husband,Married,M,Computer games developer,None,None,"30, Morgan Avenue",0,0,0,Unknown
30,Morgan Avenue,Denise,Tucker,4,Daughter,Ineligible,F,Child,None,,"30, Morgan Avenue",0,0,0,Ineligible
31,Morgan Avenue,Jennifer,Todd,48,Head,Single,F,Unemployed,None,Christian,"31, Morgan Avenue",0,1,0,Christian
32,Morgan Avenue,Jake,Fisher,75,Head,Widowed,M,"Retired Engineer, site",None,Methodist,"32, Morgan Avenue",1,0,0,Christian
33,Morgan Avenue,Derek,Dawson,56,Head,Divorced,M,Recycling officer,None,None,"33, Morgan Avenue",0,0,0,Unknown
34,Morgan Avenue,Joshua,Owens,31,Head,Married,M,"Therapist, sports",None,Catholic,"34, Morgan Avenue",0,0,0,Christian
34,Morgan Avenue,Irene,Owens,28,Wife,Married,F,"Buyer, industrial",None,Catholic,"34, Morgan Avenue",0,0,0,Christian
35,Morgan Avenue,Kayleigh,Grant,60,Head,Married,F,Automotive engineer,None,Catholic,"35, Morgan Avenue",0,0,0,Christian
35,Morgan Avenue,Terence,Grant,62,Husband,Married,M,IT trainer,None,Catholic,"35, Morgan Avenue",0,0,0,Christian
35,Morgan Avenue,Jade,Grant,43,Daughter,Single,F,Museum/gallery conservator,None,Catholic,"35, Morgan Avenue",0,0,0,Christian
36,Morgan Avenue,Jade,Alexander,32,Head,Divorced,F,Educational psychologist,None,Muslim,"36, Morgan Avenue",0,0,0,Muslim
37,Morgan Avenue,Vincent,Marsh,70,Head,Divorced,M,Retired Environmental consultant,None,Methodist,"37, Morgan Avenue",1,0,0,Christian
38,Morgan Avenue,Nathan,Adams,55,Head,Single,M,Adult nurse,None,Catholic,"38, Morgan Avenue",0,0,0,Christian
39,Morgan Avenue,Vanessa,Blackburn,46,Head,Married,F,Gaffer,None,None,"39, Morgan Avenue",0,0,0,Unknown
39,Morgan Avenue,Eric,Blackburn,54,Husband,Married,M,Statistician,None,None,"39, Morgan Avenue",0,0,0,Unknown
39,Morgan Avenue,Clive,Blackburn,16,Son,Ineligible,M,Student,None,,"39, Morgan Avenue",0,0,1,Ineligible
40,Morgan Avenue,Janet,Knight,26,Head,Divorced,F,"Psychologist, occupational",None,Muslim,"40, Morgan Avenue",0,0,0,Muslim
41,Morgan Avenue,Paula,Young,19,Head,Single,F,University Student,None,None,"41, Morgan Avenue",0,0,1,Unknown
42,Morgan Avenue,Patricia,Thomas,43,Head,Married,F,Plant breeder/geneticist,None,Methodist,"42, Morgan Avenue",0,0,0,Christian
42,Morgan Avenue,Philip,Thomas,46,Husband,Married,M,Data processing manager,None,Methodist,"42, Morgan Avenue",0,0,0,Christian
43,Morgan Avenue,Tina,Carter,85,Head,Widowed,F,Retired General practice doctor,None,Christian,"43, Morgan Avenue",1,0,0,Christian
44,Morgan Avenue,Tom,Freeman,84,Head,Divorced,M,Retired Armed forces operational officer,None,None,"44, Morgan Avenue",1,0,0,Unknown
45,Morgan Avenue,Diane,Jones,65,Head,Widowed,F,Building surveyor,None,Christian,"45, Morgan Avenue",0,0,0,Christian
46,Morgan Avenue,Beth,Joyce,29,Head,Single,F,Software engineer,None,Catholic,"46, Morgan Avenue",0,0,0,Christian
47,Morgan Avenue,Georgia,Hudson,75,Head,Widowed,F,Retired Medical technical officer,None,Christian,"47, Morgan Avenue",1,0,0,Christian
48,Morgan Avenue,Maria,Hyde,54,Head,Single,F,Holiday representative,None,Methodist,"48, Morgan Avenue",0,0,0,Christian
49,Morgan Avenue,Hazel,Rogers,72,Head,Widowed,F,Retired Applications developer,None,Christian,"49, Morgan Avenue",1,0,0,Christian
50,Morgan Avenue,Jennifer,Kirk,64,Head,Single,F,Structural engineer,None,Catholic,"50, Morgan Avenue",0,0,0,Christian
51,Morgan Avenue,Natalie,Pearson,50,Head,Single,F,Unemployed,None,Catholic,"51, Morgan Avenue",0,1,0,Christian
51,Morgan Avenue,Duncan,Pearson,15,Son,Ineligible,M,Student,None,,"51, Morgan Avenue",0,0,1,Ineligible
52,Morgan Avenue,Shirley,Day,65,Head,Widowed,F,Database administrator,None,Catholic,"52, Morgan Avenue",0,0,0,Christian
53,Morgan Avenue,Jake,Wall,21,Head,Single,M,University Student,None,Methodist,"53, Morgan Avenue",0,0,1,Christian
53,Morgan Avenue,Suzanne,Burton,30,None,Single,F,"Solicitor, Scotland",None,Catholic,"53, Morgan Avenue",0,0,0,Christian
53,Morgan Avenue,Clifford,Shepherd,56,None,Single,M,Retail banker,None,Christian,"53, Morgan Avenue",0,0,0,Christian
53,Morgan Avenue,Darren,Wood,40,None,Divorced,M,Data scientist,None,Christian,"53, Morgan Avenue",0,0,0,Christian
54,Morgan Avenue,Robin,Dennis,55,Head,Married,M,Trade mark attorney,None,None,"54, Morgan Avenue",0,0,0,Unknown
54,Morgan Avenue,Jayne,Dennis,53,Wife,Married,F,Ranger/warden,None,None,"54, Morgan Avenue",0,0,0,Unknown
54,Morgan Avenue,Frank,Dennis,14,Son,Ineligible,M,Student,None,,"54, Morgan Avenue",0,0,1,Ineligible
54,Morgan Avenue,Joanne,Dennis,12,Daughter,Ineligible,F,Student,None,,"54, Morgan Avenue",0,0,1,Ineligible
55,Morgan Avenue,Heather,Williamson-Hill,62,Head,Divorced,F,Logistics and distribution manager,None,Catholic,"55, Morgan Avenue",0,0,0,Christian
55,Morgan Avenue,Carly,Payne-Williamson-Hill,29,Daughter,Divorced,F,Orthoptist,None,Catholic,"55, Morgan Avenue",0,0,0,Christian
55,Morgan Avenue,Jenna,Middleton,23,Daughter,Single,F,Armed forces training and education officer,None,Catholic,"55, Morgan Avenue",0,0,0,Christian
56,Morgan Avenue,Raymond,Hodgson,74,Head,Widowed,M,"Retired Psychologist, prison and probation services",None,None,"56, Morgan Avenue",1,0,0,Unknown
1,Pillar Road,Maria,Rowe,20,Head,Single,F,"Doctor, general practice",None,Christian,"1, Pillar Road",0,0,0,Christian
2,Pillar Road,Trevor,Harris,67,Head,Divorced,M,Soil scientist,None,Methodist,"2, Pillar Road",0,0,0,Christian
3,Pillar Road,Clare,Booth,33,Head,Single,F,"Surveyor, hydrographic",None,Christian,"3, Pillar Road",0,0,0,Christian
3,Pillar Road,Gerald,Booth,7,Son,Ineligible,M,Student,None,,"3, Pillar Road",0,0,1,Ineligible
3,Pillar Road,Bethany,Booth,5,Daughter,Ineligible,F,Student,None,,"3, Pillar Road",0,0,1,Ineligible
4,Pillar Road,Gail,Butler,51,Head,Single,F,"Psychologist, educational",None,Christian,"4, Pillar Road",0,0,0,Christian
5,Pillar Road,Antony,Richardson,65,Head,Widowed,M,"Doctor, hospital",None,Christian,"5, Pillar Road",0,0,0,Christian
6,Pillar Road,Scott,Scott,92,Head,Divorced,M,"Retired Journalist, magazine",None,Catholic,"6, Pillar Road",1,0,0,Christian
7,Pillar Road,Nicholas,Morrison,37,Head,Single,M,Unemployed,None,Christian,"7, Pillar Road",0,1,0,Christian
7,Pillar Road,Max,Morrison,6,Son,Ineligible,M,Student,None,,"7, Pillar Road",0,0,1,Ineligible
8,Pillar Road,Lawrence,Nash,42,Head,Single,M,Unemployed,None,None,"8, Pillar Road",0,1,0,Unknown
9,Pillar Road,Georgina,West,54,Head,Divorced,F,Training and development officer,None,None,"9, Pillar Road",0,0,0,Unknown
10,Pillar Road,Andrea,Simpson,45,Head,Single,F,Corporate investment banker,None,Catholic,"10, Pillar Road",0,0,0,Christian
10,Pillar Road,Lorraine,Harrison-Simpson,7,Neice,Ineligible,F,Student,None,,"10, Pillar Road",0,0,1,Ineligible
1,Wharf Place,Gerald,Anderson,25,Head,Single,M,Retail manager,None,Christian,"1, Wharf Place",0,0,0,Christian
1,Wharf Place,Kenneth,Morgan,24,None,Single,M,"Geologist, wellsite",None,Christian,"1, Wharf Place",0,0,0,Christian
1,Wharf Place,Glen,Jackson,63,None,Single,M,Meteorologist,None,None,"1, Wharf Place",0,0,0,Unknown
1,Wharf Place,George,Lane,18,None,Widowed,M,Student,None,,"1, Wharf Place",0,0,1,Unknown
1,Wharf Place,Janice,Smith,21,None,Single,F,University Student,None,Muslim,"1, Wharf Place",0,0,1,Muslim
2,Wharf Place,Jemma,Burns,55,Head,Married,F,Industrial buyer,None,Christian,"2, Wharf Place",0,0,0,Christian
2,Wharf Place,Abigail,Burns,56,Wife,Married,F,Unemployed,None,Christian,"2, Wharf Place",0,1,0,Christian
2,Wharf Place,Mary,Burns,22,Daughter,Divorced,F,University Student,None,Christian,"2, Wharf Place",0,0,1,Christian
3,Wharf Place,Katie,Morris,38,Head,Divorced,F,Unemployed,None,Catholic,"3, Wharf Place",0,1,0,Christian
3,Wharf Place,Laura,Morris,6,Daughter,Ineligible,F,Student,None,,"3, Wharf Place",0,0,1,Ineligible
4,Wharf Place,Valerie,Smith,30,Head,Single,F,Armed forces technical officer,None,Catholic,"4, Wharf Place",0,0,0,Christian
4,Wharf Place,Lucy,Edwards,62,None,Single,F,Chief Financial Officer,None,None,"4, Wharf Place",0,0,0,Unknown
4,Wharf Place,Josh,Hyde,45,None,Single,M,Licensed conveyancer,None,Christian,"4, Wharf Place",0,0,0,Christian
4,Wharf Place,Keith,Duffy,36,None,Single,M,Television floor manager,None,Christian,"4, Wharf Place",0,0,0,Christian
5,Wharf Place,Samantha,Barber,32,Head,Single,F,PhD Student,None,None,"5, Wharf Place",0,0,1,Unknown
5,Wharf Place,Robin,Doherty,20,None,Single,M,University Student,None,Christian,"5, Wharf Place",0,0,1,Christian
5,Wharf Place,Lesley,Carr,19,None,Single,F,University Student,None,Christian,"5, Wharf Place",0,0,1,Christian
5,Wharf Place,Luke,Whittaker,18,None,Single,M,University Student,None,Catholic,"5, Wharf Place",0,0,1,Christian
5,Wharf Place,Maria,Clark,27,None,Single,F,PhD Student,None,Christian,"5, Wharf Place",0,0,1,Christian
6,Wharf Place,Annette,Parker,74,Head,Married,F,Retired Mining engineer,None,Christian,"6, Wharf Place",1,0,0,Christian
6,Wharf Place,Allan,Burns,76,Husband,Married,M,"Retired Doctor, general practice",None,Christian,"6, Wharf Place",1,0,0,Christian
7,Wharf Place,Gavin,Humphreys,50,Head,Married,M,"Engineer, drilling",None,Catholic,"7, Wharf Place",0,0,0,Christian
7,Wharf Place,Melanie,Humphreys,46,Wife,Married,F,Press photographer,None,Catholic,"7, Wharf Place",0,0,0,Christian
8,Wharf Place,Tony,Watkins,62,Head,Married,M,Quarry manager,None,None,"8, Wharf Place",0,0,0,Unknown
8,Wharf Place,Melissa,Watkins,59,Wife,Married,F,"Physicist, medical",None,None,"8, Wharf Place",0,0,0,Unknown
9,Wharf Place,Roger,Francis,50,Head,Married,M,Police officer,None,Christian,"9, Wharf Place",0,0,0,Christian
9,Wharf Place,Lauren,Francis,44,Wife,Married,F,Learning mentor,None,Christian,"9, Wharf Place",0,0,0,Christian
9,Wharf Place,Clare,Francis,15,Daughter,Ineligible,F,Student,None,,"9, Wharf Place",0,0,1,Ineligible
10,Wharf Place,Margaret,Barber,53,Head,Single,F,Psychotherapist,None,Christian,"10, Wharf Place",0,0,0,Christian
10,Wharf Place,Amber,Hayes,44,None,Divorced,F,Ship broker,None,Christian,"10, Wharf Place",0,0,0,Christian
11,Wharf Place,Henry,Woods,81,Head,Married,M,Retired Operational investment banker,None,Christian,"11, Wharf Place",1,0,0,Christian
11,Wharf Place,Louise,Woods,85,Wife,Married,F,Retired Warehouse manager,None,None,"11, Wharf Place",1,0,0,Unknown
12,Wharf Place,Rachel,Murphy,24,Head,Divorced,F,Podiatrist,None,None,"12, Wharf Place",0,0,0,Unknown
13,Wharf Place,Hollie,Russell,72,Head,Single,F,Retired Further education lecturer,None,None,"13, Wharf Place",1,0,0,Unknown
14,Wharf Place,Catherine,Hill,65,Head,Widowed,F,Patent examiner,None,Methodist,"14, Wharf Place",0,0,0,Christian
15,Wharf Place,Ashleigh,Butcher,41,Head,Married,F,"Civil engineer, contracting",None,Methodist,"15, Wharf Place",0,0,0,Christian
15,Wharf Place,Richard,Butcher,43,Husband,Married,M,Hotel manager,None,Methodist,"15, Wharf Place",0,0,0,Christian
15,Wharf Place,Sheila,Butcher,4,Daughter,Ineligible,F,Child,None,,"15, Wharf Place",0,0,0,Ineligible
15,Wharf Place,Kenneth,Edwards,50,Lodger,Single,M,Structural engineer,None,None,"15, Wharf Place",0,0,0,Unknown
16,Wharf Place,Damian,Wheeler,45,Head,Single,M,Unemployed,None,None,"16, Wharf Place",0,1,0,Unknown
16,Wharf Place,Jane,Davies,43,Partner,Single,F,Tax adviser,None,None,"16, Wharf Place",0,0,0,Unknown
17,Wharf Place,Julie,Chapman,63,Head,Single,F,Legal secretary,None,Christian,"17, Wharf Place",0,0,0,Christian
18,Wharf Place,Helen,Simpson,33,Head,Married,F,Radio broadcast assistant,None,None,"18, Wharf Place",0,0,0,Unknown
18,Wharf Place,Douglas,Simpson,33,Husband,Married,M,Interpreter,None,None,"18, Wharf Place",0,0,0,Unknown
18,Wharf Place,Trevor,Simpson,4,Son,Ineligible,M,Child,None,,"18, Wharf Place",0,0,0,Ineligible
18,Wharf Place,Hazel,Howell,40,Lodger,Single,F,Claims inspector/assessor,None,None,"18, Wharf Place",0,0,0,Unknown
19,Wharf Place,Carly,Kelly-Griffin,56,Head,Married,F,Microbiologist,None,None,"19, Wharf Place",0,0,0,Unknown
19,Wharf Place,Joel,Bevan,56,Husband,Married,M,Youth worker,None,None,"19, Wharf Place",0,0,0,Unknown
19,Wharf Place,Alan,Kelly-Griffin,17,Son,Ineligible,M,Student,None,,"19, Wharf Place",0,0,1,Ineligible
19,Wharf Place,Leah,Kelly-Griffin,14,Daughter,Ineligible,F,Student,None,,"19, Wharf Place",0,0,1,Ineligible
19,Wharf Place,Peter,Kelly-Griffin,9,Son,Ineligible,M,Student,None,,"19, Wharf Place",0,0,1,Ineligible
20,Wharf Place,Scott,Fletcher,42,Head,Divorced,M,Chiropractor,None,Catholic,"20, Wharf Place",0,0,0,Christian
21,Wharf Place,Kimberley,Roberts,68,Head,Married,F,"Retired Pilot, airline",None,None,"21, Wharf Place",1,0,0,Unknown
21,Wharf Place,Frederick,Roberts,71,Husband,Married,M,Retired Child psychotherapist,Mental Disability,None,"21, Wharf Place",1,0,0,Unknown
22,Wharf Place,Leon,Richards,40,Head,Single,M,Printmaker,None,Catholic,"22, Wharf Place",0,0,0,Christian
22,Wharf Place,Jane,Cox,53,None,Single,F,"Therapist, horticultural",None,Catholic,"22, Wharf Place",0,0,0,Christian
22,Wharf Place,Ann,Davies,56,None,Single,F,Newspaper journalist,None,Christian,"22, Wharf Place",0,0,0,Christian
22,Wharf Place,Derek,Metcalfe,30,None,Single,M,Product manager,None,None,"22, Wharf Place",0,0,0,Unknown
22,Wharf Place,Stewart,Morgan,29,None,Single,M,"Administrator, Civil Service",None,Jewish,"22, Wharf Place",0,0,0,Jewish
22,Wharf Place,Samuel,Begum,59,None,Single,M,Financial controller,None,None,"22, Wharf Place",0,0,0,Unknown
23,Wharf Place,Leanne,Harvey,72,Head,Married,F,Retired Environmental manager,None,Methodist,"23, Wharf Place",1,0,0,Christian
23,Wharf Place,Clive,Harvey,74,Husband,Married,M,Retired Curator,None,Methodist,"23, Wharf Place",1,0,0,Christian
23,Wharf Place,Amelia,Harvey,40,Daughter,Divorced,F,Regulatory affairs officer,None,None,"23, Wharf Place",0,0,0,Unknown
23,Wharf Place,Ben,Harvey,39,Son,Single,M,"Surveyor, rural practice",None,None,"23, Wharf Place",0,0,0,Unknown
24,Wharf Place,Geraldine,Williams,71,Head,Divorced,F,Retired Museum education officer,None,Christian,"24, Wharf Place",1,0,0,Christian
25,Wharf Place,Denise,White,32,Head,Married,F,Geophysicist/field seismologist,None,None,"25, Wharf Place",0,0,0,Unknown
25,Wharf Place,Derek,White,32,Husband,Married,M,Banker,None,None,"25, Wharf Place",0,0,0,Unknown
25,Wharf Place,Janet,White,7,Daughter,Ineligible,F,Student,None,,"25, Wharf Place",0,0,1,Ineligible
25,Wharf Place,Heather,White,6,Daughter,Ineligible,F,Student,None,,"25, Wharf Place",0,0,1,Ineligible
25,Wharf Place,Malcolm,White,2,Son,Ineligible,M,Child,None,,"25, Wharf Place",0,0,0,Ineligible
26,Wharf Place,Janet,Gregory,66,Head,Widowed,F,Podiatrist,None,Christian,"26, Wharf Place",0,0,0,Christian
26,Wharf Place,Roger,Gregory,39,Son,Divorced,M,Archaeologist,None,Christian,"26, Wharf Place",0,0,0,Christian
27,Wharf Place,Gillian,Fox,29,Head,Divorced,F,Commissioning editor,None,Methodist,"27, Wharf Place",0,0,0,Christian
27,Wharf Place,Beth,Fox,4,Daughter,Ineligible,F,Child,None,,"27, Wharf Place",0,0,0,Ineligible
27,Wharf Place,Rebecca,Fox,3,Daughter,Ineligible,F,Child,None,,"27, Wharf Place",0,0,0,Ineligible
28,Wharf Place,Wayne,Clark,41,Head,Single,M,Freight forwarder,None,None,"28, Wharf Place",0,0,0,Unknown
29,Wharf Place,Ricky,Thompson,83,Head,Widowed,M,Retired Furniture conservator/restorer,None,Christian,"29, Wharf Place",1,0,0,Christian
30,Wharf Place,Louise,Smith,61,Head,Married,F,Engineering geologist,None,Christian,"30, Wharf Place",0,0,0,Christian
30,Wharf Place,Denis,Smith,63,Husband,Married,M,Leisure centre manager,None,None,"30, Wharf Place",0,0,0,Unknown
30,Wharf Place,Jay,Smith,15,Son,Ineligible,M,Student,None,,"30, Wharf Place",0,0,1,Ineligible
30,Wharf Place,Kimberley,Smith,14,Daughter,Ineligible,F,Student,None,,"30, Wharf Place",0,0,1,Ineligible
30,Wharf Place,Abbie,Smith,13,Daughter,Ineligible,F,Student,None,,"30, Wharf Place",0,0,1,Ineligible
31,Wharf Place,Emily,Tucker,43,Head,Married,F,Facilities manager,None,None,"31, Wharf Place",0,0,0,Unknown
31,Wharf Place,Hugh,Tucker,49,Husband,Married,M,"Surveyor, building control",None,None,"31, Wharf Place",0,0,0,Unknown
